,hash,x,y,culture_100m,culture_250m,culture_500m,culture_750m,culture_1km
88,120132233220323,56.00753903248008,35.91979980468728,0,0,0,0,0
89,120132233220330,56.01369375763567,35.93078613281227,0,0,0,0,0
90,120132233221002,56.04445261538373,35.95275878906228,0,0,0,0,0
91,120132233221003,56.04445261538373,35.96374511718729,0,0,0,0,0
92,120132233221012,56.04445261538373,35.97473144531228,0,0,0,0,0
93,120132233221021,56.03830281261055,35.96374511718729,0,0,0,0,0
94,120132233221022,56.032152025537435,35.95275878906228,0,0,0,0,0
95,120132233221023,56.032152025537435,35.96374511718729,0,0,0,0,0
96,120132233221200,56.02600025407612,35.95275878906228,0,0,0,0,0
97,120132233221201,56.02600025407612,35.96374511718729,0,0,0,0,0
98,120132233222112,55.99522662785719,35.93078613281227,0,0,0,0,0
99,120132233222130,55.9890689482136,35.93078613281227,0,0,0,0,0
100,120132233223002,55.99522662785719,35.95275878906228,0,0,0,0,0
101,120132233223020,55.9890689482136,35.95275878906228,0,0,0,0,0
102,120132233223021,55.9890689482136,35.96374511718729,0,0,0,0,0
103,120132233223130,55.9890689482136,36.01867675781229,0,0,0,0,0
104,120132233223132,55.98291028356443,36.01867675781229,0,0,0,0,0
105,120132233223133,55.98291028356443,36.02966308593728,0,0,0,0,0
106,120132233232310,55.9767506338216,36.10656738281228,0,0,0,0,0
107,120132233311233,56.105896526072144,36.51306152343728,0,0,0,0,0
108,120132233313030,56.08747368182368,36.50207519531229,0,0,0,0,0
109,120132233313212,56.06904198524484,36.50207519531229,0,0,0,0,0
110,120132233320220,56.01369375763567,36.21643066406228,0,0,0,0,0
111,120132233320221,56.01369375763567,36.22741699218727,0,0,0,0,0
112,120132233321320,56.01369375763567,36.34826660156228,0,0,0,0,0
113,120132233322000,56.00138332258332,36.21643066406228,0,0,0,0,0
114,120132233322221,55.96442837870288,36.22741699218727,0,0,0,0,0
115,120132233322222,55.958265773150984,36.21643066406228,0,0,0,0,0
116,120132233322223,55.958265773150984,36.22741699218727,0,0,0,0,0
117,120132233332111,56.00138332258332,36.46911621093729,0,0,0,0,0
118,120132233332113,55.99522662785719,36.46911621093729,0,0,0,0,0
119,120132233332301,55.9767506338216,36.44714355468729,0,0,0,0,0
120,120132233332310,55.9767506338216,36.45812988281227,0,0,0,0,0
121,120132233333000,56.00138332258332,36.48010253906228,0,0,0,0,0
122,120132233333002,55.99522662785719,36.48010253906228,0,0,0,0,0
123,120132233333020,55.9890689482136,36.48010253906228,0,0,0,0,0
124,120132233333303,55.97058999889708,36.53503417968729,0,0,0,0,0
125,120132233333312,55.97058999889708,36.54602050781227,0,0,0,0,0
126,120132233333333,55.958265773150984,36.55700683593729,0,0,0,0,0
127,120132302332033,56.76324363028386,37.12829589843729,0,0,0,0,0
128,120132302332122,56.76324363028386,37.13928222656229,0,0,0,0,0
129,120132302332123,56.76324363028386,37.15026855468729,0,0,0,0,0
130,120132302332211,56.757209346455056,37.12829589843729,0,0,0,0,0
131,120132302332213,56.75117408895544,37.12829589843729,0,0,0,0,0
132,120132302332300,56.757209346455056,37.13928222656229,0,0,0,0,0
133,120132302332301,56.757209346455056,37.15026855468729,0,0,0,0,0
134,120132302332302,56.75117408895544,37.13928222656229,0,0,0,0,0
135,120132302332312,56.75117408895544,37.16125488281227,0,0,0,0,0
136,120132302332313,56.75117408895544,37.17224121093729,0,0,0,0,0
137,120132302332320,56.74513785769323,37.13928222656229,0,0,0,0,0
138,120132302332331,56.74513785769323,37.17224121093729,0,0,0,0,0
139,120132302332332,56.73910065257671,37.16125488281227,0,0,0,0,0
140,120132302332333,56.73910065257671,37.17224121093729,0,0,0,0,0
141,120132302333201,56.757209346455056,37.19421386718727,0,0,0,0,0
142,120132302333203,56.75117408895544,37.19421386718727,0,0,0,0,0
143,120132302333210,56.757209346455056,37.20520019531229,0,0,0,0,0
144,120132302333212,56.75117408895544,37.20520019531229,0,0,0,0,0
145,120132302333220,56.74513785769323,37.18322753906228,0,0,0,0,0
146,120132302333221,56.74513785769323,37.19421386718727,0,0,0,0,0
147,120132302333230,56.74513785769323,37.20520019531229,0,0,0,0,0
148,120132302333233,56.73910065257671,37.21618652343727,0,0,0,0,0
149,120132302333321,56.74513785769323,37.23815917968727,0,0,0,0,0
150,120132302333322,56.73910065257671,37.22717285156229,0,0,0,0,0
151,120132302333332,56.73910065257671,37.24914550781229,0,0,0,0,0
152,120132303223123,56.76324363028386,37.41394042968728,0,0,0,0,0
153,120132303231032,56.811482859783894,37.55676269531228,0,0,0,0,0
154,120132303232331,56.74513785769323,37.52380371093729,0,0,0,0,0
155,120132303232332,56.73910065257671,37.51281738281227,0,0,0,0,0
156,120132303232333,56.73910065257671,37.52380371093729,0,0,0,0,0
157,120132303233220,56.74513785769323,37.53479003906227,0,0,0,0,0
158,120132303233222,56.73910065257671,37.53479003906227,0,0,0,0,0
159,120132303233223,56.73910065257671,37.54577636718729,0,0,0,0,0
160,120132303303213,56.84762141989744,37.74353027343728,0,0,0,0,0
161,120132303330021,56.817508384708674,37.80944824218727,0,0,0,0,0
162,120132303330023,56.811482859783894,37.80944824218727,0,0,0,0,0
163,120132303330032,56.811482859783894,37.82043457031229,0,0,0,0,0
164,120132320033323,56.545395346352194,36.88659667968728,0,0,0,0,0
165,120132320110101,56.733062473514195,37.15026855468729,0,0,0,0,0
166,120132320110102,56.727023320414006,37.13928222656229,0,0,0,0,0
167,120132320110103,56.727023320414006,37.15026855468729,0,0,0,0,0
168,120132320110110,56.733062473514195,37.16125488281227,0,0,0,0,0
169,120132320111102,56.727023320414006,37.22717285156229,0,0,0,0,0
170,120132320111221,56.69681294114146,37.19421386718727,0,0,0,0,0
171,120132320201133,56.52111190991735,36.73278808593727,0,0,0,0,0
172,120132320202023,56.47249812428579,36.57897949218729,0,0,0,0,0
173,120132320202201,56.4664170012442,36.57897949218729,0,0,0,0,0
174,120132320212222,56.44816776349822,36.74377441406228,0,0,0,0,0
175,120132320213120,56.47857826937451,36.87561035156229,0,0,0,0,0
176,120132320213203,56.46033490015933,36.84265136718727,0,0,0,0,0
177,120132320220000,56.442082727741266,36.56799316406228,0,0,0,0,0
178,120132320220002,56.43599671357964,36.56799316406228,0,0,0,0,0
179,120132320221220,56.405551963542365,36.65588378906229,0,0,0,0,0
180,120132320223021,56.38117854302744,36.66687011718728,0,0,0,0,0
181,120132320223032,56.37508273985834,36.67785644531227,0,0,0,0,0
182,120132320223033,56.37508273985834,36.68884277343729,0,0,0,0,0
183,120132320223122,56.37508273985834,36.69982910156228,0,0,0,0,0
184,120132320223211,56.36898595729309,36.68884277343729,0,0,0,0,0
185,120132320223300,56.36898595729309,36.69982910156228,0,0,0,0,0
186,120132320223301,56.36898595729309,36.71081542968727,0,0,0,0,0
187,120132320223332,56.35068973232088,36.72180175781228,0,0,0,0,0
188,120132320230000,56.442082727741266,36.74377441406228,0,0,0,0,0
189,120132320230002,56.43599671357964,36.74377441406228,0,0,0,0,0
190,120132320231132,56.42382174968121,36.89758300781227,0,0,0,0,0
191,120132320231232,56.39946007705775,36.85363769531229,0,0,0,0,0
192,120132320231233,56.39946007705775,36.86462402343728,0,0,0,0,0
193,120132320232123,56.37508273985834,36.79870605468729,0,0,0,0,0
194,120132320232222,56.35068973232088,36.74377441406228,0,0,0,0,0
195,120132320232301,56.36898595729309,36.79870605468729,0,0,0,0,0
196,120132320233011,56.3933672115371,36.86462402343728,0,0,0,0,0
197,120132320233133,56.37508273985834,36.90856933593729,0,0,0,0,0
198,120132320312122,56.47249812428579,37.13928222656229,0,0,0,0,0
199,120132320313302,56.46033490015933,37.22717285156229,0,0,0,0,0
200,120132320321303,56.41164287108106,37.06237792968729,0,0,0,0,0
201,120132320322003,56.387273366890355,36.93054199218729,0,0,0,0,0
202,120132320322021,56.38117854302744,36.93054199218729,0,0,0,0,0
203,120132320322022,56.37508273985834,36.91955566406227,0,0,0,0,0
204,120132320322033,56.37508273985834,36.95251464843729,0,0,0,0,0
205,120132320330112,56.43599671357964,37.16125488281227,0,0,0,0,0
206,120132320330130,56.42990972092302,37.16125488281227,0,0,0,0,0
207,120132320330133,56.42382174968121,37.17224121093729,0,0,0,0,0
208,120132320331020,56.42990972092302,37.18322753906228,0,0,0,0,0
209,120132320331022,56.42382174968121,37.18322753906228,0,0,0,0,0
210,120132320331023,56.42382174968121,37.19421386718727,0,0,0,0,0
211,120132320331321,56.405551963542365,37.23815917968727,0,0,0,0,0
212,120132320331323,56.39946007705775,37.23815917968727,0,0,0,0,0
213,120132320331330,56.405551963542365,37.24914550781229,0,0,0,0,0
214,120132321003103,56.67867501926507,37.41394042968728,0,0,0,0,0
215,120132321010110,56.733062473514195,37.51281738281227,0,0,0,0,0
216,120132321010111,56.733062473514195,37.52380371093729,0,0,0,0,0
217,120132321010112,56.727023320414006,37.51281738281227,0,0,0,0,0
218,120132321010130,56.720983193184495,37.51281738281227,0,0,0,0,0
219,120132321011000,56.733062473514195,37.53479003906227,0,0,0,0,0
220,120132321011001,56.733062473514195,37.54577636718729,0,0,0,0,0
221,120132321011002,56.727023320414006,37.53479003906227,0,0,0,0,0
222,120132321011003,56.727023320414006,37.54577636718729,0,0,0,0,0
223,120132321011020,56.720983193184495,37.53479003906227,0,0,0,0,0
224,120132321011103,56.727023320414006,37.58972167968727,0,0,0,0,0
225,120132321011112,56.727023320414006,37.60070800781229,0,0,0,0,0
226,120132321011113,56.727023320414006,37.61169433593728,0,0,0,0,0
227,120132321020010,56.636319077140286,37.29309082031227,0,0,0,0,0
228,120132321020012,56.63026432699302,37.29309082031227,0,0,0,0,0
229,120132321020013,56.63026432699302,37.30407714843729,0,0,0,0,0
230,120132321023132,56.56966315293922,37.42492675781228,0,0,0,0,0
231,120132321023133,56.56966315293922,37.43591308593729,0,0,0,0,0
232,120132321023301,56.563597666272884,37.41394042968728,0,0,0,0,0
233,120132321023303,56.5575312030135,37.41394042968728,0,0,0,0,0
234,120132321023310,56.563597666272884,37.42492675781228,0,0,0,0,0
235,120132321023311,56.563597666272884,37.43591308593729,0,0,0,0,0
236,120132321023312,56.5575312030135,37.42492675781228,0,0,0,0,0
237,120132321023330,56.55146376307022,37.42492675781228,0,0,0,0,0
238,120132321032311,56.563597666272884,37.52380371093729,0,0,0,0,0
239,120132321033200,56.563597666272884,37.53479003906227,0,0,0,0,0
240,120132321100002,56.727023320414006,37.62268066406229,0,0,0,0,0
241,120132321100003,56.727023320414006,37.63366699218728,0,0,0,0,0
242,120132321111100,56.733062473514195,37.93029785156228,0,0,0,0,0
243,120132321112232,56.64237285178697,37.82043457031229,0,0,0,0,0
244,120132321122220,56.55146376307022,37.62268066406229,0,0,0,0,0
245,120132321122311,56.563597666272884,37.69958496093728,0,0,0,0,0
246,120132321123200,56.563597666272884,37.71057128906228,0,0,0,0,0
247,120132321131322,56.59391533549214,37.93029785156228,0,0,0,0,0
248,120132321133231,56.55146376307022,37.91931152343729,0,0,0,0,0
249,120132321133322,56.545395346352194,37.93029785156228,0,0,0,0,0
250,120132321201103,56.53325558222883,37.41394042968728,0,0,0,0,0
251,120132321202131,56.47857826937451,37.34802246093727,0,0,0,0,0
252,120132321202233,56.44816776349822,37.30407714843729,0,0,0,0,0
253,120132321203020,56.47857826937451,37.35900878906229,0,0,0,0,0
254,120132321203211,56.4664170012442,37.39196777343729,0,0,0,0,0
255,120132321203303,56.46033490015933,37.41394042968728,0,0,0,0,0
256,120132321211112,56.53325558222883,37.60070800781229,0,0,0,0,0
257,120132321211120,56.52718423464196,37.57873535156229,0,0,0,0,0
258,120132321211121,56.52718423464196,37.58972167968727,0,0,0,0,0
259,120132321211130,56.52718423464196,37.60070800781229,0,0,0,0,0
260,120132321211131,56.52718423464196,37.61169433593728,0,0,0,0,0
261,120132321211132,56.52111190991735,37.60070800781229,0,0,0,0,0
262,120132321212121,56.47857826937451,37.50183105468728,0,0,0,0,0
263,120132321222013,56.387273366890355,37.30407714843729,0,0,0,0,0
264,120132321222120,56.38117854302744,37.31506347656228,0,0,0,0,0
265,120132321222121,56.38117854302744,37.32604980468727,0,0,0,0,0
266,120132321222122,56.37508273985834,37.31506347656228,0,0,0,0,0
267,120132321222123,56.37508273985834,37.32604980468727,0,0,0,0,0
268,120132321222130,56.38117854302744,37.33703613281228,0,0,0,0,0
269,120132321222132,56.37508273985834,37.33703613281228,0,0,0,0,0
270,120132321222301,56.36898595729309,37.32604980468727,0,0,0,0,0
271,120132321222303,56.36288819524171,37.32604980468727,0,0,0,0,0
272,120132321222310,56.36898595729309,37.33703613281228,0,0,0,0,0
273,120132321222323,56.35068973232088,37.32604980468727,0,0,0,0,0
274,120132321223122,56.37508273985834,37.40295410156228,0,0,0,0,0
275,120132321223123,56.37508273985834,37.41394042968728,0,0,0,0,0
276,120132321223301,56.36898595729309,37.41394042968728,0,0,0,0,0
277,120132321230030,56.42990972092302,37.46887207031229,0,0,0,0,0
278,120132321230112,56.43599671357964,37.51281738281227,0,0,0,0,0
279,120132321230113,56.43599671357964,37.52380371093729,0,0,0,0,0
280,120132321230131,56.42990972092302,37.52380371093729,0,0,0,0,0
281,120132321230323,56.39946007705775,37.50183105468728,0,0,0,0,0
282,120132321231311,56.41773279976394,37.61169433593728,0,0,0,0,0
283,120132321231313,56.41164287108106,37.61169433593728,0,0,0,0,0
284,120132321232110,56.3933672115371,37.51281738281227,0,0,0,0,0
285,120132321232112,56.387273366890355,37.51281738281227,0,0,0,0,0
286,120132321232131,56.38117854302744,37.52380371093729,0,0,0,0,0
287,120132321232313,56.36288819524171,37.52380371093729,0,0,0,0,0
288,120132321232320,56.35678945361427,37.49084472656227,0,0,0,0,0
289,120132321232321,56.35678945361427,37.50183105468728,0,0,0,0,0
290,120132321232322,56.35068973232088,37.49084472656227,0,0,0,0,0
291,120132321232323,56.35068973232088,37.50183105468728,0,0,0,0,0
292,120132321232330,56.35678945361427,37.51281738281227,0,0,0,0,0
293,120132321232331,56.35678945361427,37.52380371093729,0,0,0,0,0
294,120132321232332,56.35068973232088,37.51281738281227,0,0,0,0,0
295,120132321232333,56.35068973232088,37.52380371093729,0,0,0,0,0
296,120132321233022,56.37508273985834,37.53479003906227,0,0,0,0,0
297,120132321233023,56.37508273985834,37.54577636718729,0,0,0,0,0
298,120132321233200,56.36898595729309,37.53479003906227,0,0,0,0,0
299,120132321233201,56.36898595729309,37.54577636718729,0,0,0,0,0
300,120132321233202,56.36288819524171,37.53479003906227,0,0,0,0,0
301,120132321233203,56.36288819524171,37.54577636718729,0,0,0,0,0
302,120132321233212,56.36288819524171,37.55676269531228,0,0,0,0,0
303,120132321233220,56.35678945361427,37.53479003906227,0,0,0,0,0
304,120132321233221,56.35678945361427,37.54577636718729,0,0,0,0,0
305,120132321233222,56.35068973232088,37.53479003906227,0,0,0,0,0
306,120132321233223,56.35068973232088,37.54577636718729,0,0,0,0,0
307,120132321233230,56.35678945361427,37.55676269531228,0,0,0,0,0
308,120132321233231,56.35678945361427,37.56774902343727,0,0,0,0,0
309,120132321233302,56.36288819524171,37.57873535156229,0,0,0,0,0
310,120132321301320,56.50288907201037,37.75451660156227,0,0,0,0,0
311,120132321302132,56.47249812428579,37.68859863281229,0,0,0,0,0
312,120132321302310,56.4664170012442,37.68859863281229,0,0,0,0,0
313,120132321310321,56.50288907201037,37.85339355468728,0,0,0,0,0
314,120132321310323,56.496812837828244,37.85339355468728,0,0,0,0,0
315,120132321313233,56.44816776349822,37.91931152343729,0,0,0,0,0
316,120132321320200,56.41773279976394,37.62268066406229,0,0,0,0,0
317,120132321320202,56.41164287108106,37.62268066406229,0,0,0,0,0
318,120132321321222,56.39946007705775,37.71057128906228,0,0,0,0,0
319,120132321321223,56.39946007705775,37.72155761718728,0,0,0,0,0
320,120132321322020,56.38117854302744,37.62268066406229,0,0,0,0,0
321,120132321322021,56.38117854302744,37.63366699218728,0,0,0,0,0
322,120132321322022,56.37508273985834,37.62268066406229,0,0,0,0,0
323,120132321322023,56.37508273985834,37.63366699218728,0,0,0,0,0
324,120132322000002,56.33848735037677,36.56799316406228,0,0,0,0,0
325,120132322000020,56.3323846895464,36.56799316406228,0,0,0,0,0
326,120132322000022,56.32628104869076,36.56799316406228,0,0,0,0,0
327,120132322000313,56.31407082654469,36.64489746093728,0,0,0,0,0
328,120132322000330,56.30796424507484,36.63391113281229,0,0,0,0,0
329,120132322001033,56.32628104869076,36.68884277343729,0,0,0,0,0
330,120132322001101,56.34458903127166,36.71081542968727,0,0,0,0,0
331,120132322001110,56.34458903127166,36.72180175781228,0,0,0,0,0
332,120132322001112,56.33848735037677,36.72180175781228,0,0,0,0,0
333,120132322001113,56.33848735037677,36.73278808593727,0,0,0,0,0
334,120132322001121,56.3323846895464,36.71081542968727,0,0,0,0,0
335,120132322001122,56.32628104869076,36.69982910156228,0,0,0,0,0
336,120132322001123,56.32628104869076,36.71081542968727,0,0,0,0,0
337,120132322001130,56.3323846895464,36.72180175781228,0,0,0,0,0
338,120132322001131,56.3323846895464,36.73278808593727,0,0,0,0,0
339,120132322001132,56.32628104869076,36.72180175781228,0,0,0,0,0
340,120132322001133,56.32628104869076,36.73278808593727,0,0,0,0,0
341,120132322001300,56.3201764277201,36.69982910156228,0,0,0,0,0
342,120132322001301,56.3201764277201,36.71081542968727,0,0,0,0,0
343,120132322001310,56.3201764277201,36.72180175781228,0,0,0,0,0
344,120132322001311,56.3201764277201,36.73278808593727,0,0,0,0,0
345,120132322001312,56.31407082654469,36.72180175781228,0,0,0,0,0
346,120132322001313,56.31407082654469,36.73278808593727,0,0,0,0,0
347,120132322002111,56.295748140893174,36.64489746093728,0,0,0,0,0
348,120132322003021,56.28352811445812,36.66687011718728,0,0,0,0,0
349,120132322003030,56.28352811445812,36.67785644531227,0,0,0,0,0
350,120132322003220,56.259076291962316,36.65588378906229,0,0,0,0,0
351,120132322003322,56.25296088381104,36.69982910156228,0,0,0,0,0
352,120132322010000,56.34458903127166,36.74377441406228,0,0,0,0,0
353,120132322010002,56.33848735037677,36.74377441406228,0,0,0,0,0
354,120132322010003,56.33848735037677,36.75476074218727,0,0,0,0,0
355,120132322010011,56.34458903127166,36.77673339843728,0,0,0,0,0
356,120132322010012,56.33848735037677,36.76574707031229,0,0,0,0,0
357,120132322010020,56.3323846895464,36.74377441406228,0,0,0,0,0
358,120132322010021,56.3323846895464,36.75476074218727,0,0,0,0,0
359,120132322010022,56.32628104869076,36.74377441406228,0,0,0,0,0
360,120132322010023,56.32628104869076,36.75476074218727,0,0,0,0,0
361,120132322010032,56.32628104869076,36.76574707031229,0,0,0,0,0
362,120132322010200,56.3201764277201,36.74377441406228,0,0,0,0,0
363,120132322010201,56.3201764277201,36.75476074218727,0,0,0,0,0
364,120132322010203,56.31407082654469,36.75476074218727,0,0,0,0,0
365,120132322010210,56.3201764277201,36.76574707031229,0,0,0,0,0
366,120132322010212,56.31407082654469,36.76574707031229,0,0,0,0,0
367,120132322010220,56.30796424507484,36.74377441406228,0,0,0,0,0
368,120132322010221,56.30796424507484,36.75476074218727,0,0,0,0,0
369,120132322010310,56.3201764277201,36.80969238281228,0,0,0,0,0
370,120132322010311,56.3201764277201,36.82067871093729,0,0,0,0,0
371,120132322010312,56.31407082654469,36.80969238281228,0,0,0,0,0
372,120132322012102,56.289638618002115,36.78771972656227,0,0,0,0,0
373,120132322012103,56.289638618002115,36.79870605468729,0,0,0,0,0
374,120132322012120,56.28352811445812,36.78771972656227,0,0,0,0,0
375,120132322012121,56.28352811445812,36.79870605468729,0,0,0,0,0
376,120132322020331,56.21012554843564,36.64489746093728,0,0,0,0,0
377,120132322020333,56.20400228826544,36.64489746093728,0,0,0,0,0
378,120132322032112,56.19175282212417,36.80969238281228,0,0,0,0,0
379,120132322032113,56.19175282212417,36.82067871093729,0,0,0,0,0
380,120132322033303,56.16724210414357,36.88659667968728,0,0,0,0,0
381,120132322033312,56.16724210414357,36.89758300781227,0,0,0,0,0
382,120132322102133,56.27741663017165,36.99645996093727,0,0,0,0,0
383,120132322103222,56.25296088381104,37.00744628906227,0,0,0,0,0
384,120132322110033,56.32628104869076,37.12829589843729,0,0,0,0,0
385,120132322110211,56.3201764277201,37.12829589843729,0,0,0,0,0
386,120132322113312,56.26519071901323,37.24914550781229,0,0,0,0,0
387,120132322120023,56.22848943841458,36.93054199218729,0,0,0,0,0
388,120132322120031,56.23460877186107,36.95251464843729,0,0,0,0,0
389,120132322120032,56.22848943841458,36.94152832031228,0,0,0,0,0
390,120132322120120,56.23460877186107,36.96350097656228,0,0,0,0,0
391,120132322120201,56.222369123421004,36.93054199218729,0,0,0,0,0
392,120132322120210,56.222369123421004,36.94152832031228,0,0,0,0,0
393,120132322120230,56.21012554843564,36.94152832031228,0,0,0,0,0
394,120132322120231,56.21012554843564,36.95251464843729,0,0,0,0,0
395,120132322120312,56.216247826791104,36.98547363281229,0,0,0,0,0
396,120132322120322,56.20400228826544,36.96350097656228,0,0,0,0,0
397,120132322121210,56.222369123421004,37.02941894531227,0,0,0,0,0
398,120132322121212,56.216247826791104,37.02941894531227,0,0,0,0,0
399,120132322121233,56.20400228826544,37.04040527343728,0,0,0,0,0
400,120132322122010,56.19787804619133,36.94152832031228,0,0,0,0,0
401,120132322122011,56.19787804619133,36.95251464843729,0,0,0,0,0
402,120132322122013,56.19175282212417,36.95251464843729,0,0,0,0,0
403,120132322122031,56.18562661597488,36.95251464843729,0,0,0,0,0
404,120132322122033,56.17949942765436,36.95251464843729,0,0,0,0,0
405,120132322122100,56.19787804619133,36.96350097656228,0,0,0,0,0
406,120132322122102,56.19175282212417,36.96350097656228,0,0,0,0,0
407,120132322122103,56.19175282212417,36.97448730468727,0,0,0,0,0
408,120132322122112,56.19175282212417,36.98547363281229,0,0,0,0,0
